Ride_ID,Tourist_Place,City,State,Ride_Type,Vehicle_Category,Vehicle_Model,Seating_Capacity,Price,Currency,Booking_Type,Duration_Hours,Distance_Covered_km,Hotel_Pickup,Hotel_Drop,Pickup_Location_Type,Drop_Location_Type,Extra_Km_Charge,Extra_Hour_Charge,Fuel_Included,Driver_Included,Driver_Rating,Ride_Rating,Availability,Estimated_Arrival,Cancellation,Amenities,Driver_Languages,Verified,Charging_Port,Music_System,WiFi,Child_Seat
RB00040,Lodhi Garden,Delhi,Delhi,Cab,Economy,Hyundai Xcent,4,5785,INR,Full Day Rental,12,109.6,No,No,Anywhere in City,Hotel,21.5,110,Yes,Yes,3.4,3.4,Scheduled Only,30 mins,Free cancellation up to 24 hours before pickup,"Sanitized Vehicle, First Aid Kit",Regional Language,No,No,Yes,No,No
RB00041,Lodhi Garden,Delhi,Delhi,Tempo Traveller,Premium,Force Tempo Traveller 17-Seater (AC),17,4560,INR,One Way,1.7,31.8,No,Yes,Hotel,Airport,34.1,230,Yes,Yes,4.8,3.8,Available Now,11 mins,Free cancellation up to 6 hours before pickup,"Bottled Water, First Aid Kit",Regional Language,Yes,Yes,Yes,Yes,No
RB00042,National Gallery of Modern Art,Delhi,Delhi,Auto,Premium,Mahindra Treo Auto,3,940,INR,One Way,1.9,35,Yes,No,Hotel,Hotel,12.6,285,No,Yes,4,4.1,Scheduled Only,4 mins,Free cancellation up to 24 hours before pickup,Bottled Water,Hindi,Yes,No,Yes,No,No
RB00043,National Gallery of Modern Art,Delhi,Delhi,Jeep,Economy,Mahindra Thar (Base),4,4180,INR,Round Trip,3.3,16.1,Yes,Yes,Hotel,Airport,9.4,200,Yes,Yes,4.3,4.5,Available Now,13 mins,Non-refundable,"Bottled Water, Hand Sanitizer",Regional Language,Yes,No,Yes,No,No
RB00044,National Gallery of Modern Art,Delhi,Delhi,Auto,Economy,Bajaj RE Compact Auto,3,455,INR,One Way,2.9,11.6,Yes,Yes,Anywhere in City,Airport,15.3,115,Yes,Yes,4.5,4.6,Available Now,14 mins,Free cancellation up to 1 hour before pickup,"Sanitized Vehicle, First Aid Kit",Hindi,Yes,No,Yes,No,No
RB00045,National Zoological Park,Delhi,Delhi,Cab,Premium,Skoda Slavia,4,6200,INR,Full Day Rental,8,85.9,No,No,Hotel,Tourist Place,22.4,145,Yes,Yes,4.3,4.5,Available in 10 mins,12 mins,Free cancellation up to 24 hours before pickup,"Bottled Water, Hand Sanitizer","Hindi, English, Regional Language",Yes,No,Yes,Yes,No
RB00046,National Zoological Park,Delhi,Delhi,Auto,Economy,Piaggio Ape Auto,3,355,INR,One Way,0.9,10.3,No,No,Anywhere in City,Airport,23.7,230,Yes,Yes,4.8,3.6,Scheduled Only,4 mins,Non-refundable,"Reading Light, Bottled Water",Regional Language,Yes,No,No,No,No
RB00047,National Zoological Park,Delhi,Delhi,Cab,Economy,Hyundai Xcent,4,2020,INR,Round Trip,2.2,22,Yes,No,Anywhere in City,Airport,17.4,295,No,Yes,4.8,3.4,Available Now,17 mins,Free cancellation up to 6 hours before pickup,Sanitized Vehicle,Hindi,Yes,Yes,No,No,No
RB00048,Qutub Minar,Delhi,Delhi,SUV,Economy,Mahindra Bolero,7,2965,INR,Round Trip,4.4,25,No,Yes,Railway Station,Hotel,13.6,230,Yes,Yes,4.8,4.7,Available in 20 mins,4 mins,Free cancellation up to 6 hours before pickup,Sanitized Vehicle,Regional Language,Yes,Yes,Yes,No,No
RB00049,Qutub Minar,Delhi,Delhi,Bike,Premium,Bajaj Dominar 400,2,2385,INR,Round Trip,4.7,37.2,Yes,No,Railway Station,Hotel,14.2,130,Yes,No,4.1,3.3,Available in 20 mins,29 mins,Free cancellation up to 1 hour before pickup,None,N/A,Yes,No,No,No,No
RB00050,Qutub Minar,Delhi,Delhi,SUV,Economy,Chevrolet Tavera,7,1410,INR,One Way,0.9,28.1,Yes,No,Hotel,Tourist Place,14.2,275,No,Yes,4.7,3.5,Available in 10 mins,11 mins,Non-refundable,First Aid Kit,Regional Language,Yes,No,Yes,No,No
RB00051,Qutub Minar,Delhi,Delhi,SUV,Premium,Mahindra XUV700,7,2520,INR,One Way,0.6,39.7,Yes,No,Hotel,Hotel,12.6,325,Yes,Yes,4.9,4.6,Available in 20 mins,2 mins,Non-refundable,Bottled Water,"Hindi, English",Yes,Yes,Yes,No,No
RB00052,National Science Centre,Delhi,Delhi,Cab,Premium,Honda City,4,1645,INR,One Way,2.6,15,No,Yes,Hotel,Hotel,12.4,305,Yes,Yes,4.4,4.6,Available in 10 mins,11 mins,Free cancellation up to 1 hour before pickup,Bottled Water,English,Yes,Yes,No,No,Yes
RB00053,National Science Centre,Delhi,Delhi,Bike,Premium,Bajaj Dominar 400,2,740,INR,One Way,1.2,33.2,Yes,Yes,Railway Station,Hotel,24.2,225,No,No,4.8,4.3,Available in 20 mins,10 mins,Free cancellation up to 1 hour before pickup,"Umbrella, Bottled Water",N/A,Yes,No,No,No,No
RB00054,National Science Centre,Delhi,Delhi,Auto,Premium,Bajaj RE Electric Auto,3,4390,INR,Full Day Rental,10,120.9,Yes,No,Anywhere in City,Airport,11.1,115,No,Yes,2.6,3.1,Available in 10 mins,30 mins,Free cancellation up to 1 hour before pickup,"Umbrella, Bottled Water",Regional Language,No,No,Yes,No,No
RB00055,Marine Drive,Mumbai,Maharashtra,Jeep,Economy,Force Gurkha,4,1775,INR,One Way,1.3,39.4,No,No,Railway Station,Hotel,16.4,215,No,Yes,4.8,3.8,Scheduled Only,21 mins,Free cancellation up to 24 hours before pickup,None,Regional Language,Yes,Yes,Yes,No,No
RB00056,Marine Drive,Mumbai,Maharashtra,Jeep,Premium,Mahindra Scorpio-N,5,4790,INR,Round Trip,5.5,4.8,Yes,Yes,Anywhere in City,Tourist Place,16.7,280,Yes,Yes,4.8,4.6,Available Now,6 mins,Free cancellation up to 1 hour before pickup,First Aid Kit,Regional Language,Yes,Yes,No,Yes,Yes
RB00057,Marine Drive,Mumbai,Maharashtra,Bike,Premium,Bajaj Dominar 400,2,855,INR,One Way,1.5,25.2,Yes,No,Anywhere in City,Airport,10,290,No,No,4.6,3.4,Available in 10 mins,29 mins,Free cancellation up to 1 hour before pickup,"Reading Light, Bottled Water",N/A,Yes,No,No,No,No
RB00058,Marine Drive,Mumbai,Maharashtra,Cab,Luxury,Skoda Superb,4,9005,INR,Full Day Rental,8,78.2,Yes,Yes,Railway Station,Airport,11.8,345,No,Yes,4.4,4.1,Available in 20 mins,16 mins,Free cancellation up to 6 hours before pickup,Sanitized Vehicle,"Hindi, English, Regional Language",Yes,No,Yes,No,No
RB00059,Gateway of India,Mumbai,Maharashtra,Bike,Premium,Royal Enfield Classic 350,2,1110,INR,One Way,2.1,43.8,Yes,Yes,Anywhere in City,Airport,23.5,95,Yes,Yes,4.2,3.5,Available Now,30 mins,50% refund if cancelled within 6 hours of pickup,"Bottled Water, Hand Sanitizer",Regional Language,Yes,No,No,No,No
RB00060,Gateway of India,Mumbai,Maharashtra,Bike,Economy,Bajaj Platina,2,4650,INR,Full Day Rental,12,98.7,Yes,No,Hotel,Hotel,9.4,335,No,No,4.5,4.3,Scheduled Only,30 mins,Free cancellation up to 6 hours before pickup,"Bottled Water, First Aid Kit",N/A,Yes,No,No,No,No
RB00061,Gateway of India,Mumbai,Maharashtra,Jeep,Economy,Force Gurkha,4,3135,INR,Round Trip,4.8,22,No,Yes,Railway Station,Airport,13.4,345,Yes,Yes,4.7,4.1,Available in 20 mins,9 mins,Non-refundable,"Bottled Water, Hand Sanitizer",Regional Language,Yes,Yes,Yes,No,Yes
RB00062,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,Maharashtra,Bike,Luxury,Royal Enfield Himalayan 450,2,2640,INR,Round Trip,4.9,42.2,No,No,Railway Station,Tourist Place,8.4,335,Yes,No,4.2,3.6,Available Now,30 mins,Non-refundable,"Bottled Water, First Aid Kit",N/A,Yes,No,No,No,No
RB00063,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,Maharashtra,SUV,Economy,Mahindra Bolero,7,5805,INR,Full Day Rental,10,80.2,Yes,No,Railway Station,Hotel,14.6,200,Yes,Yes,3.6,3.2,Available Now,14 mins,50% refund if cancelled within 6 hours of pickup,"Umbrella, Bottled Water","Hindi, English, Regional Language",No,No,No,No,Yes
RB00064,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,Maharashtra,SUV,Economy,Maruti Suzuki Ertiga,7,6005,INR,Full Day Rental,10,76.6,Yes,No,Railway Station,Hotel,14.7,245,No,Yes,4.4,4.1,Available Now,11 mins,Non-refundable,Bottled Water,Regional Language,Yes,Yes,Yes,No,No
RB00065,Sanjay Gandhi National Park,Mumbai,Maharashtra,Tempo Traveller,Economy,Force Tempo Traveller 12-Seater (Non-AC),12,8975,INR,Full Day Rental,10,45.6,No,Yes,Airport,Hotel,26.5,270,Yes,Yes,4.3,4.4,Scheduled Only,18 mins,Free cancellation up to 6 hours before pickup,"Reading Light, Bottled Water",Hindi,Yes,No,Yes,No,No
RB00066,Sanjay Gandhi National Park,Mumbai,Maharashtra,Cab,Economy,Hyundai Xcent,4,1040,INR,One Way,1.8,22.3,No,No,Airport,Hotel,12.7,160,No,Yes,3.8,3.4,Scheduled Only,12 mins,Non-refundable,"Umbrella, Bottled Water","Hindi, English, Regional Language",No,No,No,No,Yes
RB00067,Sanjay Gandhi National Park,Mumbai,Maharashtra,Jeep,Premium,Mahindra Scorpio-N,5,5435,INR,Round Trip,5.2,43.1,No,No,Railway Station,Airport,16.1,135,Yes,Yes,3.7,3.2,Available Now,9 mins,Free cancellation up to 24 hours before pickup,Bottled Water,"Hindi, English, Regional Language",No,Yes,Yes,Yes,No
RB00068,Siddhivinayak Temple,Mumbai,Maharashtra,SUV,Luxury,Toyota Fortuner,7,8690,INR,Round Trip,5.5,30.4,No,No,Railway Station,Airport,9,290,Yes,Yes,4.7,4.8,Available in 10 mins,15 mins,Free cancellation up to 24 hours before pickup,Bottled Water,"Hindi, English",Yes,No,Yes,No,No
RB00069,Siddhivinayak Temple,Mumbai,Maharashtra,SUV,Economy,Chevrolet Tavera,7,1770,INR,One Way,1.3,42,Yes,No,Railway Station,Hotel,21.7,170,No,Yes,4.7,4.5,Available in 20 mins,20 mins,Free cancellation up to 24 hours before pickup,Sanitized Vehicle,"Hindi, English, Regional Language",Yes,No,No,No,No
RB00070,Siddhivinayak Temple,Mumbai,Maharashtra,SUV,Economy,Maruti Suzuki Ertiga,7,1970,INR,One Way,1.7,44.2,No,No,Railway Station,Tourist Place,17.9,235,Yes,Yes,4.1,3.2,Available in 20 mins,7 mins,Non-refundable,None,Regional Language,Yes,No,Yes,No,No
RB00071,Mahalaxmi Temple,Mumbai,Maharashtra,Bike,Luxury,Harley-Davidson X440,2,1325,INR,One Way,3,22.1,Yes,Yes,Hotel,Airport,15.6,270,Yes,No,4.5,3.4,Available Now,6 mins,Free cancellation up to 24 hours before pickup,"Umbrella, Bottled Water",N/A,Yes,No,No,No,No
RB00072,Mahalaxmi Temple,Mumbai,Maharashtra,Jeep,Premium,Mahindra Scorpio-N,5,2485,INR,One Way,1.6,40.8,Yes,No,Railway Station,Airport,8.4,150,Yes,Yes,3.9,3.7,Available Now,19 mins,Free cancellation up to 1 hour before pickup,"Bottled Water, Hand Sanitizer","Hindi, English",Yes,Yes,Yes,No,No
RB00073,Mahalaxmi Temple,Mumbai,Maharashtra,Cab,Luxury,Skoda Superb,4,5720,INR,Round Trip,5.6,39.5,Yes,No,Hotel,Hotel,24.9,185,Yes,Yes,3.9,3,Available in 20 mins,16 mins,Free cancellation up to 6 hours before pickup,"Sanitized Vehicle, First Aid Kit","Hindi, English, Regional Language",No,Yes,Yes,No,Yes
RB00074,Haji Ali Dargah,Mumbai,Maharashtra,Tempo Traveller,Premium,Force Tempo Traveller 17-Seater (AC),17,14390,INR,Full Day Rental,8,124.3,No,Yes,Airport,Airport,15.9,200,Yes,Yes,3.8,4,Available in 20 mins,9 mins,Free cancellation up to 6 hours before pickup,"Umbrella, Bottled Water","Hindi, English, Regional Language",No,Yes,Yes,No,No
RB00075,Haji Ali Dargah,Mumbai,Maharashtra,Auto,Economy,Piaggio Ape Auto,3,545,INR,One Way,2,26.4,No,Yes,Railway Station,Airport,19.4,290,Yes,Yes,4,3.4,Available Now,17 mins,Free cancellation up to 24 hours before pickup,First Aid Kit,Regional Language,Yes,No,No,No,No
RB00076,Haji Ali Dargah,Mumbai,Maharashtra,SUV,Premium,Hyundai Creta,7,7700,INR,Full Day Rental,10,98.3,No,No,Hotel,Airport,20.3,130,Yes,Yes,4.5,3.4,Available Now,25 mins,Free cancellation up to 6 hours before pickup,First Aid Kit,"Hindi, English",Yes,Yes,No,No,No
RB00077,Chowpatty Beach,Mumbai,Maharashtra,Auto,Luxury,TVS King Deluxe Auto,3,2010,INR,Round Trip,4.2,41.4,No,No,Railway Station,Tourist Place,16.7,215,Yes,Yes,3.3,3.6,Available in 10 mins,13 mins,50% refund if cancelled within 6 hours of pickup,"Sanitized Vehicle, First Aid Kit",Hindi,No,No,Yes,No,No
RB00078,Chowpatty Beach,Mumbai,Maharashtra,Tempo Traveller,Economy,Force Tempo Traveller 12-Seater (Non-AC),12,5985,INR,Round Trip,3.3,9.4,No,No,Anywhere in City,Airport,27.8,210,Yes,Yes,2.8,4.1,Available in 10 mins,30 mins,Free cancellation up to 6 hours before pickup,Bottled Water,"Hindi, English, Regional Language",No,Yes,No,No,No
RB00079,Chowpatty Beach,Mumbai,Maharashtra,Bike,Economy,TVS Sport,2,275,INR,One Way,0.9,5.9,No,No,Hotel,Hotel,17,190,Yes,No,4.1,4.6,Scheduled Only,27 mins,Free cancellation up to 24 hours before pickup,"Bottled Water, Hand Sanitizer",N/A,Yes,No,No,No,No
RB00080,Essel World,Mumbai,Maharashtra,Bike,Economy,TVS Sport,2,1300,INR,Round Trip,3.1,37.2,Yes,Yes,Railway Station,Airport,22.1,100,No,No,4.3,4.1,Available Now,22 mins,Free cancellation up to 1 hour before pickup,Sanitized Vehicle,N/A,Yes,No,No,No,No
RB00081,Essel World,Mumbai,Maharashtra,Jeep,Premium,Mahindra Scorpio-N,5,12720,INR,Full Day Rental,8,147.5,No,No,Hotel,Hotel,19.6,155,Yes,Yes,4,3,Available in 10 mins,20 mins,Free cancellation up to 24 hours before pickup,"Sanitized Vehicle, First Aid Kit",Hindi,Yes,Yes,Yes,No,No
