,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Best Time to visit,,Description
39,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,None,Historical,Yes,Morning,,A splendid royal palace reflecting the grandeur and lifestyle of the Nizams of Hyderabad.
40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3,4.2,50,Yes,None,Wildlife,Yes,Morning,,"A spacious zoological park featuring diverse wildlife, safari experiences, and family-friendly attractions."
41,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1,4.1,20,Yes,None,Recreational,Yes,Evening,,A lakeside urban park known for its musical fountain shows and scenic boat rides.
42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,Morning,,A magnificent marble monument and museum celebrating Kolkata's colonial heritage and artistic legacy.
43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,None,Architectural,No,Anytime,,"An engineering marvel spanning the Hooghly River, serving as one of Kolkata's most iconic landmarks."
44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2,4.6,50,Yes,Monday,Historical,Yes,Morning,,"India's oldest and largest museum featuring remarkable collections of archaeology, art, fossils, and natural history."
45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1,4.7,0,Yes,None,Religious,Yes,Morning,,"A revered riverside temple dedicated to Goddess Kali, associated with the saint Ramakrishna Paramahamsa."
46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1,4.4,0,Yes,None,Religious,Yes,Morning,,"One of India's most sacred Shakti Peethas, attracting devotees seeking blessings from Goddess Kali."
47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3,4.1,2500,Yes,None,Sports,Yes,All,,"One of the world's most iconic cricket stadiums, renowned for its electrifying sporting atmosphere."
48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2,4.3,25,Yes,None,Wildlife,Yes,Afternoon,,"India's oldest officially recognized zoo, home to diverse animal species and conservation programs."
49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3,4.4,60,Yes,None,Educational,Yes,All,,"An interactive science center featuring engaging exhibits, space galleries, and educational entertainment for visitors."
50,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,None,Religious,Yes,Morning,,"The serene headquarters of the Ramakrishna Mission, celebrated for its unique blend of architectural styles."
51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1,4.4,0,Yes,None,Historical,Yes,Afternoon,,"A 19th-century mansion showcasing exquisite marble architecture, antique collections, and European artworks."
52,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2,4.4,0,Yes,None,Scenic,Yes,Evening,,"Goa's largest and most vibrant beach, famous for water sports, nightlife, and golden sands."
53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1,4.5,0,Yes,None,Historical,Yes,Afternoon,,A UNESCO World Heritage church housing the sacred relics of St. Francis Xavier.
54,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,None,Historical,Yes,Morning,,A well-preserved Portuguese fort offering spectacular Arabian Sea views and historic lighthouse remains.
55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3,4.6,500,Yes,None,Nature,Yes,Afternoon,,"One of India's tallest waterfalls, renowned for its milky cascades amidst lush Western Ghats forests."
56,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2,4.4,0,Yes,None,Scenic,Yes,Evening,,"A lively Goan beach famous for beach parties, flea markets, and exciting water sports."
57,Southern,Goa,Goa,Chapora Fort,Fort,1617,1,4.2,0,Yes,None,Historical,Yes,Evening,,A historic hilltop fort offering breathtaking panoramic views of Goa's coastline and Vagator Beach.
58,Southern,Goa,Goa,Se Cathedral,Church,1640,1,4.5,0,Yes,None,Historical,Yes,Afternoon,,"One of Asia's largest churches, admired for its magnificent Portuguese-Gothic architecture and historic significance."
59,Southern,Goa,Goa,Baga Beach,Beach,Unknown,2,4.5,0,Yes,None,Scenic,Yes,Evening,,"A bustling beach destination known for vibrant nightlife, water sports, and beachfront restaurants."
60,Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2,4.6,0,Yes,None,Scenic,Yes,Evening,,"A tranquil beach popular among backpackers, yoga enthusiasts, and lovers of scenic sunsets."
61,Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2,4.6,0,Yes,None,Scenic,Yes,Evening,,"A crescent-shaped beach renowned for calm waters, palm-lined shores, and relaxing ambiance."
62,Southern,Goa,Goa,Colva Beach,Beach,Unknown,2,4.3,0,Yes,None,Scenic,Yes,Evening,,"A scenic white-sand beach offering peaceful surroundings, water activities, and coastal charm."
63,Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Scenic,Yes,Evening,,"A picturesque beach near Panaji, ideal for leisurely walks, sunsets, and views of the Arabian Sea."
64,Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2,4.5,0,Yes,None,Scenic,Yes,Evening,,"A serene beach near Fort Aguada offering golden sands, scenic beauty, and peaceful seaside experiences."
65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2,3.9,10,Yes,None,Wildlife,Yes,Afternoon,,A protected mangrove sanctuary famous for migratory birds and rich coastal biodiversity.
66,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,None,Historical,Yes,Morning,,"Mahatma Gandhi's historic residence, preserving his legacy through museums and peaceful surroundings."
67,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2,4.7,0,No,None,Religious,No,Evening,,A revered Hindu temple dedicated to Lord Krishna and one of the sacred Char Dham pilgrimage sites.
68,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3,4.5,3500,No,None,Wildlife,Yes,Morning,,"The world's only natural habitat of the majestic Asiatic lion, rich in wildlife and biodiversity."
69,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,None,Nature,Yes,Evening,,"A breathtaking salt desert in the Rann of Kutch, especially spectacular under moonlit skies."
70,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2,4.4,200,Yes,Monday,Historical,Yes,Afternoon,,"A magnificent royal residence in Vadodara, renowned for its opulent architecture and lavish interiors."
71,Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2,4.8,0,No,None,Religious,No,Morning,,"One of the twelve sacred Jyotirlingas, standing majestically along Gujarat's scenic Arabian Sea coast."
72,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3,4.9,7500,Yes,None,Cultural,Yes,Evening,,"A vibrant cultural festival celebrating Gujarat's heritage through music, crafts, cuisine, and desert experiences."
73,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3,4.6,350,No,Monday,Historical,Yes,All,,"The world's tallest statue honoring Sardar Vallabhbhai Patel, surrounded by modern attractions and scenic landscapes."
74,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,None,Historical,Yes,All,,An immersive museum narrating Mahatma Gandhi's life through interactive exhibits and multimedia presentations.
75,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1,4.6,0,Yes,None,Recreational,Yes,Evening,,"A beautifully developed waterfront offering gardens, cycling paths, boating, and recreational spaces."
76,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2,4.4,0,Yes,None,Food,Yes,Night,,Ahmedabad's famous market transforming into a vibrant late-night street food destination after sunset.
77,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3,4.5,10,Yes,None,Recreational,Yes,Afternoon,,"A popular lakeside recreational destination featuring boating, toy trains, gardens, and family attractions."
78,Western,Gujarat,Ahmedabad,Science City,Science,2002,7,4.4,500,Yes,Monday,Educational,Yes,All,,"An interactive science park offering innovative exhibits, immersive experiences, and educational entertainment for all ages."
79,Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1,4.4,50,Yes,None,Architectural,Yes,Morning,,Jaipur's iconic Palace of Winds featuring hundreds of intricately designed windows overlooking bustling streets.
80,Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2,4.4,300,Yes,None,Historical,Yes,All,,"A magnificent royal palace complex showcasing regal architecture, museums, and the rich heritage of Jaipur."
81,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,None,Historical,Yes,All,,"A living UNESCO World Heritage fort housing homes, temples, shops, and vibrant cultural experiences."
82,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3,4.6,500,No,None,Wildlife,Yes,All,,A renowned tiger reserve offering thrilling wildlife safaris amidst ancient ruins and scenic forests.
83,Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,No,None,Religious,Yes,All,,"A sacred lake surrounded by ancient ghats and temples, central to Hindu pilgrimage traditions."
84,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1,4.6,0,Yes,None,Religious,No,All,,"A revered Sufi shrine dedicated to Khwaja Moinuddin Chishti, attracting pilgrims from around the world."
85,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2,4.6,100,Yes,None,Historical,Yes,All,,"One of India's grandest forts, offering magnificent architecture, museums, and panoramic views of Jodhpur."
86,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2,4.6,40,No,None,Historical,Yes,All,,"India's largest fort complex, symbolizing Rajput valor through magnificent palaces, temples, and towers."
87,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1,4.6,0,No,None,Religious,No,All,,Exquisite Jain temples renowned for breathtaking marble carvings and extraordinary craftsmanship.
88,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2,4.5,50,Yes,None,Historical,Yes,All,,"A magnificent Bikaner fort admired for its ornate palaces, courtyards, and well-preserved architecture."
89,Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2,4.6,100,Yes,None,Historical,Yes,All,,A majestic hilltop fort blending Rajput and Mughal architecture with grand courtyards and palaces.
90,Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,Yes,None,Historical,Yes,All,,A formidable hill fort housing the world's largest cannon on wheels and commanding views of Jaipur.
91,Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1,4.6,0,Yes,None,Nature,Yes,All,,"A picturesque artificial lake surrounded by palaces, ghats, and scenic boat cruises in Udaipur."
92,Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,Yes,None,Spiritual,Yes,All,,"Sikhism's holiest shrine, celebrated for its golden architecture, spiritual serenity, and community kitchen."
93,Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1,4.8,0,Yes,None,Historical,Yes,Afternoon,,"A historic memorial commemorating the victims of the 1919 massacre, preserving an important chapter of Indian history."
94,Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2,4.8,0,Yes,None,Cultural,Yes,Evening,,The famous India-Pakistan border known for its energetic daily flag-lowering ceremony and patriotic atmosphere.
95,Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2,4.5,30,Yes,None,Artistic,Yes,All,,A unique sculpture garden in Chandigarh created entirely from recycled materials and industrial waste.
96,Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,4.5,0,Yes,None,Recreational,Yes,All,,"A serene Kerala beach featuring golden sands, a historic pier, and picturesque Arabian Sea sunsets."
97,Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2,4.3,0,No,None,Nature,Yes,All,,"Rolling tea plantations offering breathtaking landscapes, cool climate, and immersive plantation experiences."
98,Southern,Kerala,Kochi,Fort Kochi,Site,1503,1,4.4,0,Yes,None,Historical,Yes,All,,"A charming historic coastal town known for colonial architecture, Chinese fishing nets, and vibrant art culture."
99,Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1,4.7,0,Yes,None,Religious,No,All,,"A revered Hindu temple in Thiruvananthapuram, renowned for its magnificent Dravidian architecture and immense historical treasures."
100,Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,3.9,0,Yes,None,Recreational,Yes,All,,"A scenic beachfront known for breathtaking sunsets, historic significance, and delicious local seafood delicacies."
101,Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,Unknown,3,4.5,300,No,None,Wildlife,Yes,All,,"A lush protected reserve home to elephants, deer, leopards, and diverse flora within the Western Ghats."
102,Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3,4.3,50,No,None,Wildlife,Yes,All,,A renowned tiger and elephant reserve offering wildlife safaris and boat cruises on the picturesque Periyar Lake.
103,Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2,3.8,50,Yes,None,Wildlife,Yes,All,,A tranquil wetland sanctuary attracting migratory birds and nature enthusiasts along the serene Vembanad Lake.
104,Southern,Kerala,Varkala,Varkala Beach,Beach,Unknown,2,4.6,0,Yes,None,Recreational,Yes,All,,"A stunning cliffside beach famous for its dramatic coastal views, golden sands, and natural mineral springs."
105,Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,20,No,None,Historical,Yes,All,,"Kerala's largest fort, offering panoramic Arabian Sea views and beautifully preserved historic architecture."
106,Southern,Kerala,Kovalam,Kovalam Beach,Beach,Unknown,2,4.4,0,Yes,None,Recreational,Yes,All,,"A world-famous beach destination known for crescent-shaped shores, lighthouse views, and exciting water sports."
107,Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1,4.4,20,Yes,None,Historical,Yes,All,,"A well-preserved Portuguese fort overlooking the Arabian Sea, reflecting Kerala's rich colonial heritage."
108,Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,Unknown,1,4.5,0,No,None,Nature,Yes,Morning,,"A breathtaking hilltop viewpoint offering sweeping vistas of forests, valleys, and cascading waterfalls."
109,Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,Yes,Monday,Cultural,Yes,All,,"A cultural museum showcasing Kerala's traditional art, architecture, costumes, and historical artifacts."
110,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,Yes,None,Entertainment,Yes,All,,"A premier amusement park featuring thrilling rides, water attractions, and family-friendly entertainment experiences."
111,Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2,4.6,50,Yes,None,Historical,Yes,All,,A magnificent royal residence celebrated for its Indo-Saracenic architecture and dazzling nighttime illumination.
112,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3,4.7,0,No,None,Historical,Yes,All,,A UNESCO World Heritage Site showcasing the spectacular ruins of the ancient Vijayanagara Empire.
113,Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1,4.1,0,No,None,Nature,Yes,Morning,,"A picturesque waterfall nestled amid coffee plantations, offering a refreshing escape into nature."
114,Southern,Karnataka,Gokarna,Om Beach,Beach,Unknown,2,4.5,0,No,None,Nature,Yes,All,,"A uniquely shaped beach resembling the sacred ""Om"" symbol, popular for relaxation and water activities."
115,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3,4.5,0,No,None,Nature,Yes,All,,"Karnataka's highest peak, offering scenic trekking trails and breathtaking panoramic mountain views."
116,Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,No,None,Religious,No,All,,Ancient rock-cut cave temples renowned for exquisite carvings and remarkable Chalukyan architecture.
117,Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,No,None,Nature,Yes,Morning,,"One of India's highest waterfalls, admired for its dramatic cascades during the monsoon season."
118,Southern,Karnataka,Mangalore,Panambur Beach,Beach,Unknown,1.5,4.5,0,Yes,None,Recreational,Yes,All,,"A clean and vibrant beach famous for water sports, kite festivals, and beautiful sunsets."
119,Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1,4.7,0,Yes,None,Religious,No,All,,"A prominent coastal temple dedicated to Lord Shiva, featuring one of the world's tallest Shiva statues."
120,Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,No,None,Historical,Yes,All,,An architectural masterpiece renowned for its massive dome and unique whispering gallery.
121,Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3,4.4,300,No,None,Wildlife,Yes,Morning,,"A celebrated wildlife reserve known for tigers, elephants, and rich biodiversity in the Western Ghats."
122,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1,4.7,15,No,None,Religious,No,All,,A masterpiece of Hoysala architecture featuring intricate stone carvings dedicated to Lord Shiva.
123,Western,Maharastra,Pune,Shaniwar Wada,Fort,1732,2,4.4,50,Yes,None,Historical,Yes,All,,"A historic Maratha fortification known for its grand gateways, gardens, and fascinating history."
124,Western,Maharastra,Aurangabad,Ajanta Caves,Cave,200,3,4.6,30,Yes,Monday,Historical,Yes,Afternoon,,UNESCO-listed Buddhist rock-cut caves adorned with exquisite murals and ancient sculptures.
125,Western,Maharastra,Nashik,Sula Vineyards,Vineyard,1999,2,4.1,300,Yes,None,Recreational,Yes,Afternoon,,"India's leading vineyard offering wine tastings, scenic landscapes, and immersive winery tours."
126,Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,None,Religious,No,All,,A revered pilgrimage site in Shirdi dedicated to the spiritual leader Sai Baba.
127,Western,Maharastra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Recreational,Yes,Evening,,"A popular coastal destination offering tranquil shores, water sports, and views of the historic Kolaba Fort."
128,Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1600,1,4.7,0,No,None,Religious,No,All,,"A sacred seaside temple dedicated to Lord Ganesha, surrounded by pristine beaches and natural beauty."
129,Western,Maharastra,Nagpur,Deekshabhoomi,Monument,2001,1,4.5,0,Yes,None,Religious,Yes,Afternoon,,A significant Buddhist monument marking Dr. B. R. Ambedkar's historic conversion to Buddhism.
130,Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,700,1,4.8,0,Yes,None,Religious,No,All,,"A revered temple dedicated to Goddess Mahalakshmi, attracting devotees with its spiritual significance."
131,Western,Maharastra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Yes,Historical,Yes,Afternoon,,Ancient Buddhist rock-cut caves featuring impressive chaityas and intricately carved pillars.
132,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Unknown,2,4.6,0,No,None,Recreational,Yes,Evening,,"A pristine beach known for crystal-clear waters, scuba diving, snorkeling, and marine biodiversity."
133,Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2,4.4,300,No,None,Nature,Yes,Afternoon,,A UNESCO World Natural Heritage Site famous for its vibrant seasonal bloom of wildflowers.
134,Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,Yes,None,Nature,Yes,Morning,,A scenic hilltop viewpoint where natural echoes and breathtaking valley views delight visitors.
135,Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3,4.7,30,Yes,Tuesday,Historical,Yes,Afternoon,,"A UNESCO World Heritage Site featuring remarkable Hindu, Buddhist, and Jain rock-cut monuments."
